woy,Hemisphere,age_group,within_variation,sd,se,ci
12,Southern,40-49,0.519339187066366,0.104347130632758,0.00107562930165048,0.00210846589355658
12,Southern,Over 50,0.5087916531694,0.108401250376123,0.000719912638076131,0.0014110781742282
13,Northern,10-19,0.489990635628107,0.098111672519692,0.000436539349510028,0.000855621905618818
13,Northern,20-29,0.488863687300231,0.103985789847069,0.00032242144542245,0.000631941774424856
13,Northern,30-39,0.493441309761725,0.110675232221906,0.000441322624027507,0.000864993096085009
13,Northern,40-49,0.500027655268345,0.110951428925595,0.000672062722037915,0.00131727723148791
13,Northern,Over 50,0.489661163330076,0.113245537832488,0.000390669120941906,0.000765708436542333
13,Southern,10-19,0.509477608377233,0.0886064367904377,0.000567558690476743,0.00111244983899579
13,Southern,20-29,0.510835736559207,0.0939383143722245,0.000405517252243995,0.000794817137206594
13,Southern,30-39,0.520766569223773,0.102146772984196,0.000592287088549329,0.00116090860575483
13,Southern,40-49,0.51901039841931,0.103664249940455,0.00105620502551547,0.0020703839758246
13,Southern,Over 50,0.509328413351242,0.106757723886873,0.000702977470049386,0.00137788283870544
14,Northern,10-19,0.488815284935599,0.0967060158088844,0.00042597635914039,0.000834917930135779
14,Northern,20-29,0.487710698813889,0.102164580952165,0.000313546165970316,0.000614546198904304
14,Northern,30-39,0.493289841330578,0.108407119410313,0.000427635674005298,0.00083816630603528
14,Northern,40-49,0.498963921973498,0.109579302383547,0.000656187016272843,0.00128615874344556
14,Northern,Over 50,0.489692697782928,0.111413664274345,0.000380750692356482,0.00074626819333441
14,Southern,10-19,0.508478032329981,0.0899534376061364,0.000571827793716974,0.00112081670407319
14,Southern,20-29,0.50924813718044,0.0932880330517403,0.000400097870641005,0.000784194876122134
14,Southern,30-39,0.519038968261116,0.10039906571459,0.000577578722064312,0.00113207884272452
14,Southern,40-49,0.518468257222853,0.104677708317496,0.00105924359401435,0.00207633665501011
14,Southern,Over 50,0.506667368730837,0.108830995580104,0.000712105059966608,0.00139577260300933
15,Northern,10-19,0.487862072731555,0.09586264479372,0.000417774540715619,0.000818841877355837
15,Northern,20-29,0.487260404235716,0.100025956529927,0.000304530059564233,0.000596874645307092
15,Northern,30-39,0.493210214701358,0.105976484381551,0.000414353331908754,0.000812132634418223
15,Northern,40-49,0.49935305881633,0.108987962127853,0.000647797519924663,0.00126971410318692
15,Northern,Over 50,0.490618056203961,0.11044825077552,0.000374745503148465,0.000734497924045602
15,Southern,10-19,0.50656616099086,0.0895948978519418,0.000564686187392591,0.00110681780767397
15,Southern,20-29,0.508972116894506,0.0934265600899273,0.000398024974951687,0.000780131754315202
15,Southern,30-39,0.517453800152989,0.101958638832414,0.000583192363897185,0.00114308129641951
15,Southern,40-49,0.518118028906153,0.103507194168854,0.0010417079235687,0.00204196036831767
15,Southern,Over 50,0.506789964310712,0.107207834386166,0.000700286111558128,0.00137260644645641
