doy,Hemisphere,within_variation,sd,se,ci
110,Southern,0.945719466,0.85019316,0.004021141,0.007881504
111,Northern,0.847593698,0.870237012,0.002000222,0.003920389
111,Southern,0.960472441,0.845921004,0.003969405,0.007780097
112,Northern,0.854302274,0.873299636,0.00199924,0.003918464
112,Southern,0.978299488,0.83254711,0.003947938,0.007738028
113,Northern,0.879406316,0.859316731,0.001950395,0.003822728
113,Southern,0.992288696,0.827119013,0.003877722,0.007600397
114,Northern,0.882166236,0.849939918,0.001986443,0.003893382
114,Southern,1.005784931,0.82236887,0.003972889,0.00778694
115,Northern,0.842979332,0.886503136,0.002123911,0.004162817
115,Southern,0.959553299,0.863118579,0.004325553,0.008478186
116,Northern,0.828434966,0.884078921,0.002053755,0.004025312
116,Southern,0.938031489,0.860197672,0.00411526,0.008065985
117,Northern,0.829969714,0.882323705,0.002029564,0.003977898
117,Southern,0.938365724,0.855188889,0.004047395,0.007932964
118,Northern,0.835825154,0.878056536,0.00200912,0.003937827
118,Southern,0.939313197,0.8560087,0.004038406,0.007915343
119,Northern,0.849762992,0.871282908,0.001985225,0.003890993
119,Southern,0.942321726,0.846441168,0.003970228,0.007781712
120,Northern,0.874223071,0.851385606,0.00191268,0.003748808
120,Southern,0.971879134,0.837836358,0.003848716,0.007543537
121,Northern,0.888982148,0.847818989,0.001965257,0.003851859
121,Southern,0.981377205,0.838106819,0.003969129,0.007779562
122,Northern,0.850001143,0.878652604,0.002101102,0.004118113
122,Southern,0.951247497,0.865496601,0.004269024,0.00836738
123,Northern,0.835854836,0.876195094,0.00201623,0.003951763
123,Southern,0.932538144,0.861592446,0.004055822,0.007949477
124,Northern,0.838675657,0.872759873,0.00198779,0.003896022
124,Southern,0.931600298,0.858428571,0.003988724,0.007817959
125,Northern,0.840801336,0.870769476,0.00196751,0.003856273
125,Southern,0.938892608,0.857426796,0.003962822,0.007767189
126,Northern,0.859380642,0.860883652,0.001937159,0.003796785
126,Southern,0.949680105,0.841974439,0.003901963,0.007647905
127,Northern,0.878243443,0.850353447,0.001909538,0.003742648
127,Southern,0.979637258,0.821299612,0.003746635,0.007343454
128,Northern,0.888689753,0.843739526,0.001954085,0.003829962
128,Southern,0.989185075,0.820908055,0.003835014,0.007516688
129,Northern,0.854875398,0.870024759,0.002068236,0.004053697
129,Southern,0.953901167,0.859590539,0.004185909,0.008204467
